S.no,Cadmium,Chromium,Copper,Nickel,Lead,Zinc,Classification
296,0.396,3.28,7.1,2.12,29.2,34.2,Organic
297,0.273,3.91,43.5,10.7,53.6,52.7,Avoid Pesticide
298,0.611,38.2,16.2,33.4,76.0,133.0,Not Organic but fit for cultivation
299,0.122,11.9,5.67,4.88,24.4,25.8,Organic
300,0.204,11.6,4.67,5.33,32.7,24.3,Organic
301,0.904,3.06,16.9,5.42,164.0,81.8,Not Organic but fit for cultivation
302,0.138,18.5,26.5,12.9,62.3,97.0,Not Organic but fit for cultivation
303,0.22,30.7,25.5,22.5,54.0,70.4,Not Organic but fit for cultivation
304,0.433,2.61,7.9,3.15,46.7,23.8,Organic
305,0.531,1.32,4.14,1.74,57.5,35.9,Organic
306,0.789,2.98,5.58,2.05,41.4,39.3,Avoid Pesticide
307,0.172,19.4,12.7,12.4,16.1,51.3,Avoid Pesticide
308,0.273,32.3,28.5,39.8,30.5,79.9,Not Organic but fit for cultivation
309,0.485,4.28,20.5,7.18,99.1,56.7,Not Organic but fit for cultivation
310,0.22,5.31,8.84,5.67,49.5,33.8,Organic
311,0.12,35.8,8.88,21.0,23.0,47.2,Avoid Pesticide
312,0.129,29.9,7.88,18.2,19.9,43.2,Organic
313,0.187,20.8,11.2,16.1,20.7,53.1,Avoid Pesticide
314,0.257,26.7,18.5,26.3,27.8,86.0,Not Organic but fit for cultivation
315,0.239,22.0,12.5,20.0,39.0,69.6,Not Organic but fit for cultivation
316,0.27,29.5,27.2,26.6,91.1,102.0,Not Organic but fit for cultivation
317,0.485,9.64,5.12,6.35,25.5,64.6,Not Organic but fit for cultivation
318,0.561,7.44,8.47,5.86,37.8,80.0,Not Organic but fit for cultivation
319,0.112,18.0,6.23,7.3,13.1,13.5,Organic
320,0.099,14.7,4.56,4.94,11.8,8.98,Organic
321,0.503,32.5,21.4,22.1,40.5,135.0,Not Organic but fit for cultivation
322,0.801,23.8,11.6,14.8,67.5,95.8,Not Organic but fit for cultivation
323,1.31,20.1,12.9,14.4,44.3,111.0,Not Organic but fit for cultivation
324,0.25,25.9,31.2,22.1,63.7,113.0,Not Organic but fit for cultivation
325,0.209,49.6,13.7,26.7,29.7,60.5,Not Organic but fit for cultivation
326,0.546,2.55,7.23,2.52,64.6,37.4,Organic
327,0.178,23.1,26.9,17.3,141.0,61.6,Not Organic but fit for cultivation
328,0.643,25.5,35.3,18.7,113.0,145.0,Not Organic but fit for cultivation
329,0.305,16.1,14.2,10.3,34.2,63.8,Not Organic but fit for cultivation
330,0.392,20.0,12.1,26.3,57.2,61.5,Not Organic but fit for cultivation
331,0.118,10.6,4.36,8.36,22.6,25.6,Organic
332,0.107,10.1,3.84,7.03,10.2,15.7,Organic
333,0.028,10.2,1.68,7.14,10.3,11.8,Organic
334,0.186,43.4,13.5,20.8,27.0,89.6,Not Organic but fit for cultivation
335,0.228,61.5,18.7,31.7,38.9,125.0,Not Organic but fit for cultivation
336,0.156,29.3,13.1,16.7,43.4,69.0,Not Organic but fit for cultivation
337,0.114,18.3,11.1,12.6,28.2,80.2,Not Organic but fit for cultivation
338,0.085,12.8,5.5,4.59,14.2,18.4,Organic
339,0.062,13.9,5.67,3.9,10.0,17.5,Organic
340,0.381,3.14,12.7,2.38,150.0,16.8,Not Organic but fit for cultivation
341,0.858,4.96,21.7,5.13,244.0,57.7,Not Organic but fit for cultivation
342,0.149,18.2,13.1,13.7,36.9,51.5,Avoid Pesticide
343,0.155,19.5,15.4,13.6,44.6,49.7,Avoid Pesticide
344,0.196,20.8,9.35,12.9,27.5,43.3,Organic
345,0.826,19.7,30.6,21.7,88.4,190.0,Not Organic but fit for cultivation
346,0.212,20.3,19.0,16.5,37.3,68.4,Not Organic but fit for cultivation
347,0.263,28.2,19.0,28.2,40.0,85.5,Not Organic but fit for cultivation
348,0.138,25.8,8.99,8.0,39.7,46.7,Avoid Pesticide
349,0.357,36.5,22.5,29.9,29.6,101.0,Not Organic but fit for cultivation
350,0.341,32.4,21.4,30.5,23.7,84.7,Not Organic but fit for cultivation
351,0.107,41.1,22.0,16.4,31.6,79.0,Not Organic but fit for cultivation
352,0.055,28.2,16.5,18.1,55.2,84.9,Not Organic but fit for cultivation
353,6.83,17.8,22.6,29.7,282.0,961.0,Not fit for cultivation
354,0.17,5.63,0.61,2.13,22.9,18.4,Organic
355,0.103,8.79,1.61,2.14,19.6,12.7,Organic
356,2.51,32.0,7.96,25.4,39.2,101.0,Not Organic but fit for cultivation
357,4.72,54.3,21.2,60.0,34.0,155.0,Not Organic but fit for cultivation
358,0.189,25.7,10.8,7.99,22.4,41.9,Organic
359,0.092,21.3,8.7,13.8,30.5,44.4,Organic
360,0.42,11.5,11.7,15.8,30.9,63.7,Not Organic but fit for cultivation
361,0.175,27.8,21.1,30.0,21.5,66.5,Not Organic but fit for cultivation
362,0.204,34.1,17.0,30.5,32.3,104.0,Not Organic but fit for cultivation
363,0.259,35.3,16.5,11.3,52.6,69.6,Not Organic but fit for cultivation
364,0.178,20.0,20.2,25.2,27.2,71.5,Not Organic but fit for cultivation
365,0.093,6.8,2.85,3.06,22.0,19.5,Organic
366,0.093,15.8,6.51,5.96,25.3,30.8,Organic
367,0.231,11.9,19.1,10.1,37.6,81.1,Not Organic but fit for cultivation
368,0.082,27.0,8.43,19.0,32.0,66.8,Not Organic but fit for cultivation
